time	x	y	z	Vx	Vy	Vz
755144006.0000000000000000	2960976.5864709611050785	3524740.1745637478306890	4899327.0690741520375013	-2414.8293759688876889	-5169.1656817706898437	5171.0378190254687070
755144016.0000000000000000	2936635.0652236253954470	3472819.0122278505004942	4950714.7903311643749475	-2453.4214055207207821	-5214.9530928849526390	5106.3946635655147475
755144026.0000000000000000	2911909.2360817804001272	3420443.3964160829782486	5001452.7412547934800386	-2491.6901222810352010	-5260.0553985279539120	5041.0851881157004755
755144036.0000000000000000	2886802.3570767589844763	3367620.2073816186748445	5051534.3018579287454486	-2529.6305530457916575	-5304.4667744707603561	4975.1180491131917734
755144046.0000000000000000	2861317.7357465596869588	3314356.3831549501046538	5100952.9391321465373039	-2567.2377697841893678	-5348.1814895847455773	4908.5019856505223288
755144056.0000000000000000	2835458.7286811778321862	3260658.9186097257770598	5149702.2078680237755179	-2604.5068902249149687	-5391.1939064708785736	4841.2458182264144853
755144066.0000000000000000	2809228.7410621112212539	3206534.8645223695784807	5197775.7514629280194640	-2641.4330784341473191	-5433.4984820743093223	4773.3584474909284836
755144076.0000000000000000	2782631.2261961321346462	3151991.3266256274655461	5245167.3027162365615368	-2678.0115453853300096	-5475.0897682843315124	4704.8488529852138527
755144086.0000000000000000	2755669.6850433982908726	3097035.4646561862900853	5291870.6846119230613112	-2714.2375495207261338	-5515.9624125198170077	4635.7260918761085122
755144096.0000000000000000	2728347.6657399917021394	3041674.4913965109735727	5337879.8110884660854936	-2750.1063973047725995	-5556.1111583002120824	4565.9992976858356997
755144106.0000000000000000	2700668.7631149641238153	2985915.6717110439203680	5383188.6877960329875350	-2785.6134437692589927	-5595.5308458021891056	4495.6776790170461027
755144116.0000000000000000	2672636.6182019719853997	2929766.3215769086964428	5427791.4128408916294575	-2820.7540930503487289	-5634.2164124020564486	4424.7705182734280243
755144126.0000000000000000	2644254.9177455804310739	2873233.8071092604659498	5471682.1775170043110847	-2855.5237989174720497	-5672.1628932040266591	4353.2871703761265962
755144136.0000000000000000	2615527.3937023212201893	2816325.5435814247466624	5514855.2670247694477439	-2889.9180652941217886	-5709.3654215544429462	4281.2370614761875913
755144146.0000000000000000	2586457.8227365808561444	2759048.9944399618543684	5557305.0611768672242761	-2923.9324467705791903	-5745.8192295420776645	4208.6296876632450221
755144156.0000000000000000	2557050.0257114032283425	2701411.6703147999942303	5599026.0350911719724536	-2957.5625491086070724	-5781.5196484846064777	4135.4746136706544348
755144166.0000000000000000	2527307.8671742840670049	2643421.1280245706439018	5640012.7598707024008036	-2990.8040297381426171	-5816.4621094013691618	4061.7814715772856289
755144176.0000000000000000	2497235.2548380387015641	2585084.9695772849954665	5680259.9032705733552575	-3023.6525982460320847	-5850.6421434725316431	3987.5599595061621585
755144186.0000000000000000	2466836.1390568236820400	2526410.8411664851009846	5719762.2303519155830145	-3056.1040168568429181	-5884.0553824847602300	3912.8198403201395195
755144196.0000000000000000	2436114.5122973867692053	2467406.4321630080230534	5758514.6041227439418435	-3088.1541009057982592	-5916.6975592635217254	3837.5709403148052843
755144206.0000000000000000	2405074.4086056291125715	2408079.4741024896502495	5796511.9861657368019223	-3119.7987193038738951	-5948.5645080921312911	3761.8231479087776279
755144216.0000000000000000	2373719.9030685550533235	2348437.7396687474101782	5833749.4372529061511159	-3151.0337949951053815	-5979.6521651176562955	3685.5864123315695906
755144226.0000000000000000	2342055.1112716863863170	2288489.0416731662116945	5870222.1179471388459206	-3181.8553054061480907	-6009.9565687438025634	3608.8707423091846067
755144236.0000000000000000	2310084.1887520211748779	2228241.2320302231237292	5905925.2891905801370740	-3212.2592828881411151	-6039.4738600108912578	3531.6862047475997315
755144246.0000000000000000	2277811.3304466116242111	2167702.2007292727939785	5940854.3128798399120569	-3242.2418151509186828	-6068.2002829630491760	3454.0429234142834503
755144256.0000000000000000	2245240.7701368369162083	2106879.8748027277179062	5975004.6524280114099383	-3271.7990456896227442	-6096.1321850027325127	3375.9510776178963170
755144266.0000000000000000	2212376.7798884487710893	2045782.2172907539643347	6008371.8733134726062417	-3300.9271742037644799	-6123.2660172326959582	3297.4209008863090276
755144276.0000000000000000	2179223.6694874651730061	1984417.2262026101816446	6040951.6436154618859291	-3329.6224570087847496	-6149.5983347855244574	3218.4626796430675313
755144286.0000000000000000	2145785.7858719821088016	1922792.9334747530519962	6072739.7345364112406969	-3357.8812074401666905	-6175.1257971408531375	3139.0867518824356921
755144296.0000000000000000	2112067.5125599848106503	1860917.4039258321281523	6103732.0209110239520669	-3385.6997962501513939	-6199.8451684303763614	3059.3035058431269135
755144306.0000000000000000	2078073.2690732269547880	1798798.7342086939606816	6133924.4817020809277892	-3413.0746519971085036	-6223.7533177307759615	2979.1233786808438708
755144316.0000000000000000	2043807.5103572525549680	1736445.0517595177516341	6163313.2004829701036215	-3440.0022614276135755	-6246.8472193446659730	2898.5568551397286683
755144326.0000000000000000	2009274.7261976343579590	1673864.5137442008126527	6191894.3659069249406457	-3466.4791698512863150	-6269.1239530696821021	2817.6144662228275592
755144336.0000000000000000	1974479.4406324988231063	1611065.3060021121054888	6219664.2721629589796066	-3492.5019815084388028	-6290.5807044558168855	2736.3067878616620874
755144346.0000000000000000	1939426.2113614105619490	1548055.6419873298145831	6246619.3194184983149171	-3518.0673599305905555	-6311.2147650511087704	2654.6444395850021465
755144356.0000000000000000	1904119.6291506872512400	1484843.7617074816953391	6272756.0142486924305558	-3543.1720282938968012	-6331.0235326357988015	2572.6380831869159920
755144366.0000000000000000	1868564.3172352160327137	1421437.9306602987926453	6298070.9700524061918259	-3567.8127697655454540	-6350.0045114450549590	2490.2984213941872440
755144376.0000000000000000	1832764.9307168393861502	1357846.4387680008076131	6322560.9074548808857799	-3591.9864278431723505	-6368.1553123803714698	2407.6361965331625470
755144386.0000000000000000	1796726.1559593833517283	1294077.5993096218444407	6346222.6546970633789897	-3615.6899066873447737	-6385.4736532097367672	2324.6621891961035544
755144396.0000000000000000	1760452.7099803939927369	1230139.7478513915557414	6369053.1480115940794349	-3638.9201714471641935	-6401.9573587566774222	2241.3872169071073586
755144406.0000000000000000	1723949.3398396524135023	1166041.2411752801854163	6391049.4319854518398643	-3661.6742485790359751	-6417.6043610782699034	2157.8221327876503892
755144416.0000000000000000	1687220.8220245367847383	1101790.4562058188021183	6412208.6599092576652765	-3683.9492261586528912	-6432.4126996322102059	2073.9778242218139894
755144426.0000000000000000	1650271.9618322970345616	1037395.7889353029895574	6432528.0941132223233581	-3705.7422541862442813	-6446.3805214330386661	1989.8652115212391891
755144436.0000000000000000	1613107.5927493113558739	972865.6533474883763120	6452005.1062897481024265	-3727.0505448851295114	-6459.5060811976036348	1905.4952465898552418
755144446.0000000000000000	1575732.5758273901883513	908208.4803398842923343	6470637.1778026744723320	-3747.8713729936262098	-6471.7877414798485916	1820.8789115884253533
755144456.0000000000000000	1538151.7990571944974363	843432.7166447533527389	6488421.8999831657856703	-3768.2020760503551173	-6483.2239727950045562	1736.0272175989448442
755144466.0000000000000000	1500370.1767388333100826	778546.8237489213934168	6505356.9744122475385666	-3788.0400546729824782	-6493.8133537332678316	1650.9512032889263082
755144476.0000000000000000	1462392.6488497066311538	713559.2768125029979274	6521440.2131899837404490	-3807.3827728304408993	-6503.5545710630385656	1565.6619335755997326
755144486.0000000000000000	1424224.1804096589330584	648478.5635866464581341	6536669.5391912916675210	-3826.2277581086696046	-6512.4464198237883465	1480.1704982900564573
755144496.0000000000000000	1385869.7608435074798763	583313.1833304016618058	6551042.9863084023818374	-3844.5726019699081917	-6520.4878034086277694	1394.4880108413562994
755144506.0000000000000000	1347334.4033410088159144	518071.6457268137019128	6564558.6996799623593688	-3862.4149600055843621	-6527.6777336366412783	1308.6256068806212625
755144516.0000000000000000	1308623.1442143297754228	452762.4697983435471542	6577214.9359067725017667	-3879.7525521828251840	-6534.0153308150438534	1222.5944429651290193
755144526.0000000000000000	1269741.0422530840151012	387394.1828217183938250	6589010.0632541710510850	-3896.5831630846269036	-6539.4998237912232071	1136.4056952224229917
755144536.0000000000000000	1230693.1780769987963140	321975.3192423116415739	6599942.5618410576134920	-3912.9046421437128629	-6544.1305499947202406	1050.0705580144485793
755144546.0000000000000000	1191484.6534862748812884	256514.4195881531341001	6610011.0238155564293265	-3928.7149038701086283	-6547.9069554691950543	963.6002426017258813
755144556.0000000000000000	1152120.5908097012434155	191020.0293836697237566	6619214.1535173244774342	-3944.0119280724607052	-6550.8285948944276242	877.0059758075651644
755144566.0000000000000000	1112606.1322505883872509	125500.6980632553750183	6627550.7676264997571707	-3958.7937600731206658	-6552.8951315983940731	790.2989986823293975
755144576.0000000000000000	1072946.4392305824439973	59964.9778847701090854	6635019.7952992934733629	-3973.0585109170242504	-6554.1063375594594618	703.4905651677479455
755144586.0000000000000000	1033146.6917314196471125	-5578.5771569338394329	6641620.2782902270555496	-3986.8043575743763540	-6554.4620933987171156	616.5919407612822170
755144596.0000000000000000	993212.0876346866134554	-71121.4124163600790780	6647351.3710610093548894	-4000.0295431371669110	-6553.9623883625135932	529.6144011805433820
755144606.0000000000000000	953147.8420596454525366	-136654.9736834923969582	6652212.3408760614693165	-4012.7323770095322288	-6552.6073202951738494	442.5692310277610204
755144616.0000000000000000	912959.1866991859860718	-202170.7082695974386297	6656202.5678846854716539	-4024.9112350919717755	-6550.3970956019629739	355.4677224543007696
755144626.0000000000000000	872651.3691539666615427	-267660.0660926082637161	6659321.5451898779720068	-4036.5645599594386113	-6547.3320292022899594	268.3211738252272767
755144636.0000000000000000	832229.6522648050449789	-333114.5007619913085364	6661568.8789037913084030	-4047.6908610333043725	-6543.4125444731816970	181.1408883839092994
755144646.0000000000000000	791699.3134433792438358	-398525.4706629993161187	6662944.2881898386403918	-4058.2887147472124525	-6538.6391731830299250	93.9381729166629071
755144656.0000000000000000	751065.6440013014944270	-463884.4400402132887393	6663447.6052914466708899	-4068.3567647068193764	-6533.0125554156156795	6.7243364174282618
755144666.0000000000000000	710333.9484776246827096	-529182.8800802760524675	6663078.7755474559962749	-4077.8937218434298302	-6526.5334394844248891	-80.4893112475243129
755144676.0000000000000000	669509.5439648432657123	-594412.2699937202269211	6661837.8573941690847278	-4086.8983645615207934	-6519.2026818372423804	-167.6914606748629524
755144686.0000000000000000	628597.7594334494788200	-659564.0980957925785333	6659725.0223540430888534	-4095.3695388531577919	-6511.0212468654162876	-254.8708042223254893
755144696.0000000000000000	587603.9350565344793722	-724629.8628816510317847	6656740.5550129953771830	-4103.3061582917171108	-6501.9902063400677434	-342.0160371492959825
755144706.0000000000000000	546533.4215300231007859	-789601.0741100143641233	6652884.8529801759868860	-4110.7072047301790008	-6492.1107410922350027	-429.1158597343837187
755144716.0000000000000000	505391.5793922067387030	-854469.2538837458705530	6648158.4268351504579186	-4117.5717278362899378	-6481.3841390142979435	-516.1589778024845145
755144726.0000000000000000	464183.7783443756634369	-919225.9377217544242740	6642561.9000648958608508	-4123.8988453791635038	-6469.8117954540093706	-603.1341042932970140
755144736.0000000000000000	422915.3965690698823892	-983862.6756333451485261	6636096.0089857345446944	-4129.6877433576328258	-6457.3952131164332968	-690.0299606207166789
755144746.0000000000000000	381591.8200472544413060	-1048371.0331909822998568	6628761.6026519136503339	-4134.9376761047969921	-6444.1360019001849651	-776.8352780079897002
755144756.0000000000000000	340218.4418744795839302	-1112742.5926013644784689	6620559.6427508397027850	-4139.6479663863756286	-6430.0358787238101286	-863.5387988228462746
755144766.0000000000000000	298800.6615760888089426	-1176968.9537747153081000	6611491.2034849561750889	-4143.8180054928370737	-6415.0966673422744861	-950.1292779126055166
755144776.0000000000000000	257343.8844215367280412	-1241041.7353921881876886	6601557.4714402724057436	-4147.4472533252846915	-6399.3202981535196159	-1036.5954839392456961
755144786.0000000000000000	215853.5207378793857060	-1304952.5759712872095406	6590759.7454415420070291	-4150.5352384750704005	-6382.7088079950499377	-1122.9262007144293420
755144796.0000000000000000	174334.9852224999631289	-1368693.1349292041268200	6579099.4363940916955471	-4153.0815582971044932	-6365.2643399305034109	-1209.1102285344686607
755144806.0000000000000000	132793.6962551330216229	-1432255.0936439712531865	6566578.0671122986823320	-4155.0858789768371935	-6346.9891430261604910	-1295.1363855152173983
755144816.0000000000000000	91235.0752092507027555	-1495630.1565133272670209	6553197.2721347231417894	-4156.5479355908719299	-6327.8855721173422353	-1380.9935089268722095
755144826.0000000000000000	49664.5457628747972194	-1558810.0520111981313676	6538958.7975258901715279	-4157.4675321611757681	-6307.9560875646411660	-1466.6704565286590878
755144836.0000000000000000	8087.5332088788563851	-1621786.5337416878901422	6523864.5006647258996964	-4157.8445417028524389	-6287.2032549999312323	-1552.1561079033847363
755144846.0000000000000000	-33490.5362351550720632	-1684551.3814904789905995	6507916.3500196514651179	-4157.6789062654361260	-6265.6297450621023017	-1637.4393657918217286
755144856.0000000000000000	-75064.2361174600373488	-1747096.4022735380567610	6491116.4249103311449289	-4156.9706369676596296	-6243.2383331224491485	-1722.5091574269001740
755144866.0000000000000000	-116628.1404429226531647	-1809413.4313830232713372	6473466.9152560802176595	-4155.7198140256614352	-6220.0318989996585515	-1807.3544358676688262
755144876.0000000000000000	-158176.8243641707231291	-1871494.3334302902221680	6454970.1213109362870455	-4153.9265867745780270	-6196.0134266643262890	-1891.9641813329897104
755144886.0000000000000000	-199704.8648728433472570	-1933331.0033858888782561	6435628.4533853931352496	-4151.5911736834741532	-6171.1860039329367282	-1976.3274025349228395
755144896.0000000000000000	-241206.8414909770654049	-1994915.3676164487842470	6415444.4315548026934266	-4148.7138623635701151	-6145.5528221512349774	-2060.4331380117560002
755144906.0000000000000000	-282677.3369624402839690	-2056239.3849183442071080	6394420.6853544516488910	-4145.2950095697005963	-6119.1171758669161136	-2144.2704574606304959
755144916.0000000000000000	-324110.9379443483776413	-2117295.0475480314344168	6372559.9534613089635968	-4141.3350411949631962	-6091.8824624915614550	-2227.8284630697066859
755144926.0000000000000000	-365502.2356983909849077	-2178074.3822489534504712	6349865.0833624582737684	-4136.8344522584939114	-6063.8521819517472977	-2311.0962908498122488
755144936.0000000000000000	-406845.8267820023465902	-2238569.4512748988345265	6326339.0310102151706815	-4131.7938068863213630	-6035.0299363292433554	-2394.0631119655108705
755144946.0000000000000000	-448136.3137393055949360	-2298772.3534097098745406	6301984.8604639377444983	-4126.2137382852306473	-6005.4194294902272304	-2476.7181340655215536
755144956.0000000000000000	-489368.3057917600963265	-2358675.2249832265079021	6276805.7435185350477695	-4120.0949487095876975	-5975.0244667034348822	-2559.0506026124198797
755144966.0000000000000000	-530536.4195284419693053	-2418270.2408833550289273	6250804.9593196837231517	-4113.4382094210577634	-5943.8489542471652385	-2641.0498022115389176
755144976.0000000000000000	-571635.2795958858914673	-2477549.6155641539953649	6223985.8939657593145967	-4106.2443606411579822	-5911.8968990050561843	-2722.7050579389938321
755144986.0000000000000000	-612659.5193874159594998	-2536505.6040498176589608	6196352.0400964925065637	-4098.5143114965794666	-5879.1724080505509846	-2804.0057366687387912
755144996.0000000000000000	-653603.7817318940069526	-2595130.5029344498179853	6167906.9964683596044779	-4090.2490399572129718	-5845.6796882199741958	-2884.9412483985674953
755145006.0000000000000000	-694462.7195818109903485	-2653416.6513775102794170	6138654.4675167193636298	-4081.4495927668199329	-5811.4230456741288435	-2965.5010475749581929
755145016.0000000000000000	-735230.9967006482183933	-2711356.4320948193781078	6108598.2629047064110637	-4072.1170853662747504	-5776.4068854483384712	-3045.6746344166604104
755145026.0000000000000000	-775903.2883494331035763	-2768942.2723450041376054	6077742.2970588970929384	-4062.2527018093142033	-5740.6357109908394705	-3125.4515562369197141
